sasdate,^GSPC,^HSCE,^HSI,^KS200,^N225,^STOXX50E
1999-04-21,1336.119995,1955.920044,12543.75977,87.04000092,16495.01953,0
1999-04-22,1358.819946,1982.540039,12933.54004,86.87000275,16665.88086,0
1999-04-23,1356.849976,1940.810059,12905.2998,88.06999969,16923.25,0
1999-04-26,1360.040039,1910.459961,13127.01953,91.15000153,16918.50977,0
1999-04-27,1362.800049,1951.969971,13364.79004,93.51000214,16957.26953,0
1999-04-28,1350.910034,1901.339966,13133.38965,92.58999634,16942.24023,0
1999-04-29,1342.829956,1919.619995,13179.7002,87.36000061,16942.24023,0
1999-04-30,1335.180054,1962,13333.2002,87.15000153,16701.5293,0
1999-05-03,1354.630005,1968.900024,13337.07031,87.16999817,16701.5293,0
1999-05-04,1332,1998.869995,13559.69043,88.69000244,16701.5293,0
1999-05-05,1347.310059,2004.51001,13586.20996,88.69000244,16701.5293,0
1999-05-06,1332.050049,2117.149902,13570.24023,93.48999786,17300.60938,0
1999-05-07,1345,2116.629883,12997.42969,93.54000092,16946.51953,0
1999-05-10,1340.300049,2051.840088,13163.2002,93.30999756,16977.00977,0
1999-05-11,1355.609985,2062.350098,12874.37012,89.31999969,16743.17969,0
1999-05-12,1364,2044.680054,13012.96973,88.70999908,16947.35938,0
1999-05-13,1367.560059,2054.01001,13053.66992,85.11000061,16851.25,0
1999-05-14,1337.800049,2072.080078,12855.51953,85.23000336,16810.39063,0
1999-05-17,1339.48999,2010.810059,12588.59961,83.33000183,16421.01953,0
1999-05-18,1333.319946,2049.97998,12627.09961,84.86000061,16378.62012,0
1999-05-19,1344.22998,2065.909912,12403.13965,85.26999664,16128.17969,0
1999-05-20,1338.829956,2034.599976,12375.41992,82.48000336,16199.99023,0
